affiliation,result
"Wuhan Donghu University Wuhan, China","Wuhan, Hubei, China"
"East China Normal Univ. Shanghai, China","200062 China, Shanghai, Putuo District, Changfengxincun, North Zhongshan Road 3663, East China Normal University"
"East China Normal University, Shanghai, CN","200062 China, Shanghai, Putuo District, Changfengxincun, North Zhongshan Road 3663, East China Normal University"
"Informatics Bandung Institute of Technology Bandung, Indonesia","Bandung, West Java, Indonesia"
"Institut Teknologi Bandung Bandung, Indonesia","Jalan Taman Sari 10-12, Coblong, Bandung 40132, West Java, Indonesia"
"Bandung Institute of Technology Bandung, West Java, Indonesia","Bandung, West Java, Indonesia"
"Law and Economics Wuhan University of Science and Technology, Wuhan, China","Wuhan, Hubei, China"
"Stetson University DeLand, Florida","Stetson University, 421 North Woodland Boulevard, DeLand, FL 32723, United States of America"
"National University of Defense Technology, School of International Relations","National University of Defense Technology, School of International Relations"
"Innovation and Technology, Kristiania University College, Oslo, Norway","Oslo, Norway"
"Norwegian University of Science and Technology Gjøvik, Norway","Gjøvik, Norway"
"Department of Information Security and Communication Technology, Norwegian University of Science and Technology (NTNU), Norway","Anderson, South Carolina, United States of America"
"Asia Pacific University of Technology & Innovation, Kuala Lumpur, Malaysia","Asia Pacific University of Technology & Innovation, Jalan Teknologi 2, Sungai Besi, 57000 Kuala Lumpur, Malaysia"
"Asia Pacific University of Technology and Innovation (APU) Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia"
"Hulunbeier College, Hulunbeier Inner, China",China
"College of Statistical Sciences Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"Polytechnic of Statistics Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"Polytechnic of Statistics STIS DKI Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"Institute of Statistics Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"United Nations Global Pulse Lab, Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"Pulse Lab Jakarta, Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
Pulse Lab Jakarta of United Nations Global Pulse,Pulse Lab Jakarta of United Nations Global Pulse
"BPS-Statistics Indonesia Directorate of Finance, Information Technology, and Tourism Statistics","BPS-Statistics Indonesia Directorate of Finance, Information Technology, and Tourism Statistics"
"College of Information and Communication National University of Defense Technology, Xi’an, China","Xi'an, Shaanxi, China"
"Railway Public Security Department, Xi’an, China","Xi'an, Shaanxi, China"
"Beijing Yingherui Environmental Technology Co.Ltd., Beijing, China","Beijing, Beijing Shi, China"
"Al Imam Mohammad Ibn Saud Islamic University (IMSIU) Riyadh, Saudi Arabia","Ar Riyāḑ, Saudi Arabia"
"College of Computer and Information Sciences Al Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia","College of Computer and Information Sciences Al Imam Mohammad Ibn Saud Islamic University (IMSIU), Riyadh, Saudi Arabia"
"Jiangsu Maritime Institute, Nanjing, China","211112 China, Jiangsu, Jiangning District, 格致路 309, Jiangsu Maritime Institute"
"Wuxi Vocational Institute Of Commerce Wuxi, Jiangsu, China","Wuxi, Jiangsu Sheng, China"
"TianJin University Tianjin, China","300084 China, Tianjin, Nankai District, Nankai, Xuefu, 湖波道, Tianjin University"
"Chuzhou University Chuzhou, China","Chuzhou, Anhui Sheng, China"
"Xi'an FanYi University, Xi'an, China","Xi'an, Shaanxi, China"
"IBM Fellow and Master Inventor, IBM, USA",United States of America
"International Business Machines (IBM) Melbourne, Australia","Melbourne, Australia"
"Hewlett Packard Enterprises, India",India
"Noida Jaipuria Institute of Management, Noida, India","Noida, Gautam Buddha Nagar, India"
"Jamia Millia Islamia New Delhi, India","New Delhi, India"
"College of Computer and Information Sciences Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia","College of Computer and Information Sciences Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia"
"Institute of Information Technology, Baku, Azerbaijan","Baku, Baku City, Azerbaijan"
"Institute of Information Technology of Azerbaijan National Academy of Sciences, Baku, Azerbaijan","Baku, Baku City, Azerbaijan"
"Department of Electrical & Computer Engineering, International Islamic University Malaysia",Malaysia
"International Islamic University Malaysia Kuala Lumpur, Malaysia","Kuala Lumpur, Malaysia"
"Nasarawa State University Keffi, Nigeria","Nasarawa state university, A234, Keffi, Nasarawa State, Nigeria"
"Xi'an Polytechnic University Xi'an, China","Xi'an, Shaanxi, China"
"Montreal QC, CA","Montreal, QC, Canada"
"UAE University Al-ain, UAE","College of Medicine and Health Sciences; UAE University, Tuwam Street, Al Maqam, Abu Dhabi Emirate, United Arab Emirates"
"Deakin University Geelong, VIC, Australia","Deakin University, Jarvis Road, Waurn Ponds VIC 3216, Australia"
"Deakin University Geelong, Australia","Deakin University, Jarvis Road, Waurn Ponds VIC 3216, Australia"
"Deakin University Geelong, Victoria, Australia","Deakin University, Jarvis Road, Waurn Ponds VIC 3216, Australia"
"Infocomm Technology Cluster, Singapore Institute of Technology, Singapore",Singapore
"China Mobile Communication Group Design Institute Co.LTD Wuhan, China","Wuhan, Hubei, China"
"China Mobile Communication Group Design Institute Co.LTD Beijing, China","Beijing, Beijing Shi, China"
"China Mobile Group Design Institute Co. Ltd, Wuhan, China","Wuhan, Hubei, China"
"School of Engineering and Informatics University of Sussex Computer Science. Princess Nourah University;, United Kingdom","School of Engineering and Informatics University of Sussex Computer Science. Princess Nourah University;, United Kingdom"
"University of Sussex Brighton, UK","University of Sussex Health Centre, Refectory Road, Brighton, BN1 9RW, United Kingdom"
"Chhotubhai Gopalbhai Patel Institute of Technology Bardoli, India","Bārdoli, Sūrat, India"
"Video/Image Modeling and Synthesis (VIMS) Lab University of Delaware, Newark, Delaware, United States of America","Newark, Delaware, United States of America"
"Vision Systems Inc., Rhode Island, U.S.A","Fashion Dr, Warwick, RI, United States of America"
"Video/Image Modeling and Synthesis (VIMS) Lab, University of Delaware","University of Delaware, New Castle County, Delaware, United States of America"
"Parahyangan Catholic University Bandung, Indonesia","Bandung, West Java, Indonesia"
"Bandung Institute of Technology Bandung, Indonesia","Bandung Institute of Technology, Jatinangor, Jalan Kopertis, Jatinangor 45363, West Java, Indonesia"
"Jilin Engineering Normal University Changchun, China","Changchun, Changchun Shi, China"
"National Technical University of Athens Athens, Greece","National Technical University of Athens, Τοσίτσα, Athens, Greece"
"Massachusetts Institute of Technology Cambridge, MA","Massachusetts Institute of Technology, Putnam Avenue, Cambridge, MA 02139, United States of America"
"University of Thessaly Lamia, Greece","Campus of Exact Sciences of University of Thessaly (Lamia) (Ex TEI), Αθηνών, Lamia, Greece"
"NTUA Athens, Greece","FOSS-NTUA, Central plaza, Municipality of Zografos, Greece"
"Pacific Northwest National Laboratory Richland, WA, USA","Pacific Ave N, Pacific, WA, United States of America"
"Department of computer engineerring, Sanghvi College of Engineering","Department of computer engineerring, Sanghvi College of Engineering"
"Dwarkadas J. Sanghvi College of Engg. Mumbai, India","Mumbai, Mumbai Suburban, India"
"Shandong Univ. Jinan, China","250358 China, Shandong, Changqing District, Guyunhu, 大学路 1, Changqing Lake Campus, Shandong Normal University"
"Shandong University Jinan, China","250358 China, Shandong, Changqing District, Guyunhu, 大学路 1, Changqing Lake Campus, Shandong Normal University"
"Galgotias University Greater Noida, Uttar Pradesh, India","Galgotias University, Yamuna Expressway, Gautam Buddha Nagar District, Greater Noida - 203200, Uttar Pradesh, India"
"Graphic Era Deemed to be University Dehradun, Uttrakhand, India",India
"KIET Group of Institutions Ghaziabad, Uttar Pradesh, India","KIET GROUP OF INSTITUTIONS, Muradnagar, NH34, Ghaziabad District, Ghaziabad - 201206, Uttar Pradesh, India"
"School of Information Science and Technology Universitas Pelita Harapan, Tangerang, Indonesia","Tangerang, Banten, Indonesia"
"School of Computer Science University of Nottingham, Nottingham, United Kingdom","Nottingham, United Kingdom"
"University of Granada Granada, Spain","University of Granada Store, Calle Doctor Severo Ochoa, 18071 Granada, Spain"
"and Computational Intelligence University of Granada, Granada, Spain","Granada, Andalusia, Spain"
"University of Granada Andalusian Research Institute on Data Science and Computational Intellience, Granada, Spain","University of Granada Andalusian Research Institute on Data Science and Computational Intellience, Granada, Spain"
"University of North Georgia Dahlonega, GA, USA","University of North Georgia - Dahlonega Campus, 110 South Chestatee Street, Dahlonega, GA 30597, United States of America"
"University of Georgia Athens, GA, USA","University of Georgia, Athens-Clarke County Unified Government, Georgia, United States of America"
"The University of Georgia Athens, GA, USA","The University of Georgia Golf Course, 2600 Riverbend Road, Athens-Clarke County Unified Government, GA 30605, United States of America"
"StonyBrook University Stony Brook, NY, USA","University Pl, New York, NY, United States of America"
"LaGuardia Community College New York, USA","Laguardia Community College, West 34th Street, New York, NY 11101, United States of America"
"Rensselaer Polytechnic Institute Troy, NY, USA","Rensselaer Polytechnic Institute, 110 8th Street, City of Troy, NY 12180, United States of America"
"China Agricultural University Beijing, China","100093 China, Beijing, Haidian District, Malianwa, Yuanmingyuan West Road 2号, 中国农业大学西校区"
"Algeria Branch Beijing,China","Beijing, Beijing Shi, China"
"London Metropolitan University London, UK","London Metropolitan University, Moorgate, Barbican, London, EC2M 6SE, United Kingdom"
"Advanced Systems Engineering Laboratory Ibn Tofail University, Kenitra, Morocco","Kenitra, Morocco"
"Information Processing and Industrial Management (LASTIMI) EST Salé University Mohamed V, Salé, Morocco","Barrage Mohammed V, Oriental, Morocco"
"EST-Ibn Tofail University, Kenitra, Morocco","Kenitra, Morocco"
"College of Mechatronics Engineering and Automation Shanghai University, Shanghai, P.R. China",China
"Shanghai University Shanghai, China","201906 China, Shanghai, Baoshan District, 锦秋第一社区, Nanchen Road, Shanghai University (Baoshan Campus)"
"Nat. Inst. of Tech. Teachers' Training & Res., Bhopal, India","Bhopal, Bhopāl, India"
"NITTTR Bhopal, India","Bhopal, Bhopāl, India"
"Training and Research Bhopal, MP, India",India
"Shanghai Electric Power Company Zhabei Power Plant, Shanghai, China","Shanghai, Shanghai Shi, China"
"Faculty Technology and Design Universitas Bunda Mulia, Jakarta, Indonesia","Jakarta, DKI Jakarta, Indonesia"
"Department of Management, Kalbis Institute, Indonesia",Indonesia
"Faculty of Law Economics and Social Sciences Hassan II University, Morocco",Morocco
"University Malaysia Pahang Al-Sultan Abdullah Pekan, Malaysia","Pekan, Pahang, Malaysia"
"Faculty of Computing Universiti Malaysia Pahang Al-Sultan Abdullah, Pekan, Pahang, Malaysia","Pekan, Pahang, Malaysia"
"University of Wolverhampton Wolverhampton, U.K.","University of Wolverhampton, Stafford Street, Springfield, Wolverhampton, WV1 1JP, United Kingdom"
"Faculty of Mechanical and Automotive Engineering, University Malaysia Pahang Al-Sultan Abdullah","Sultan, Washington, United States of America"
"Kulliyyah of Pharmacy IIUM Kuantan Campus, Kuantan, Malaysia","Kuantan, Pahang, Malaysia"
"Wuhan Huaxia Institute of Technology Wuhan, China","Wuhan, Hubei, China"
"Haliburton,USA","Haliburton, McLennan County, TX 76640, United States of America"
"UNAM,C3,Mexico","UNAM, 93240 Poza Rica, VER, Mexico"
"Kingston ON, Canada","Kingston, ON, Canada"
"Queen's University Kingston, Ontario, Canada","Queen's University, University Avenue, Kingston, ON K7L 3N6, Canada"
"University of Tartu, Estonia","University of Tartu, Ülikooli 18, 50090 Tartu, Estonia"
"Applied College Imam Abdulrahman Bin Faisal University, Dammam, Saudi Arabia","Dammam, Eastern, Saudi Arabia"
"Faculty of Computers and Information Menofia University, Egypt",Egypt
"Anhui Transportation Technical College, Hefei, China","Hefei, Anhui Sheng, China"
"Changzhou Vocational Institute of Engineering Changzhou, China","Changzhou, Jiangsu Sheng, China"
